FIPS,county_name,gdp_per_capita
13003,"Atkinson, GA",37635
13005,"Bacon, GA",40549
13007,"Baker, GA",49213
13009,"Baldwin, GA",43440
13011,"Banks, GA",44907
13013,"Barrow, GA",48284
13015,"Bartow, GA",49283
13017,"Ben Hill, GA",40325
13019,"Berrien, GA",40982
13021,"Bibb, GA",46709
13023,"Bleckley, GA",41768
13025,"Brantley, GA",36465
13027,"Brooks, GA",40099
13029,"Bryan, GA",58469
13031,"Bulloch, GA",39665
13033,"Burke, GA",42289
13035,"Butts, GA",41941
13037,"Calhoun, GA",34618
13039,"Camden, GA",44639
13043,"Candler, GA",40161
13045,"Carroll, GA",49941
13047,"Catoosa, GA",43903
13049,"Charlton, GA",31566
13051,"Chatham, GA",56879
13053,"Chattahoochee, GA",37823
13055,"Chattooga, GA",37028
13057,"Cherokee, GA",67524
13059,"Clarke, GA",42305
13061,"Clay, GA",37917
13063,"Clayton, GA",33796
13065,"Clinch, GA",43783
13067,"Cobb, GA",71886
13069,"Coffee, GA",39244
13071,"Colquitt, GA",41403
13073,"Columbia, GA",59113
13075,"Cook, GA",39383
13077,"Coweta, GA",59376
13079,"Crawford, GA",40710
13081,"Crisp, GA",46317
13083,"Dade, GA",42380
13085,"Dawson, GA",60375
13087,"Decatur, GA",43093
13089,"DeKalb, GA",64793
13091,"Dodge, GA",36364
13093,"Dooly, GA",45204
13095,"Dougherty, GA",45836
13097,"Douglas, GA",43722
13099,"Early, GA",43776
13101,"Echols, GA",33308
13103,"Effingham, GA",48908
13105,"Elbert, GA",43145
13107,"Emanuel, GA",39530
13109,"Evans, GA",40606
13111,"Fannin, GA",51339
13113,"Fayette, GA",73749
13115,"Floyd, GA",44222
13117,"Forsyth, GA",80102
13119,"Franklin, GA",44515
13121,"Fulton, GA",101142
13123,"Gilmer, GA",45937
13125,"Glascock, GA",39926
13127,"Glynn, GA",60005
13129,"Gordon, GA",45305
13131,"Grady, GA",38274
13133,"Greene, GA",80348
13135,"Gwinnett, GA",51627
13137,"Habersham, GA",40453
13139,"Hall, GA",57162
13141,"Hancock, GA",36114
13143,"Haralson, GA",45122
13145,"Harris, GA",57555
13147,"Hart, GA",46306
13149,"Heard, GA",41094
13151,"Henry, GA",47645
13153,"Houston, GA",48495
13155,"Irwin, GA",43839
13157,"Jackson, GA",56286
13159,"Jasper, GA",47111
13161,"Jeff Davis, GA",37471
13163,"Jefferson, GA",42400
13165,"Jenkins, GA",36603
13167,"Johnson, GA",32330
13169,"Jones, GA",44108
13171,"Lamar, GA",44395
13173,"Lanier, GA",34161
13175,"Laurens, GA",43156
13177,"Lee, GA",51620
13179,"Liberty, GA",40111
13181,"Lincoln, GA",46586
13183,"Long, GA",39172
13185,"Lowndes, GA",43910
13187,"Lumpkin, GA",46945
13189,"McDuffie, GA",43153
13191,"McIntosh, GA",49003
13193,"Macon, GA",43861
13195,"Madison, GA",47253
13197,"Marion, GA",38440
13199,"Meriwether, GA",44630
13201,"Miller, GA",52011
13205,"Mitchell, GA",45224
13207,"Monroe, GA",54836
13209,"Montgomery, GA",36634
13211,"Morgan, GA",61557
13213,"Murray, GA",38212
13215,"Muscogee, GA",49466
13217,"Newton, GA",42038
13219,"Oconee, GA",83605
13221,"Oglethorpe, GA",46998
13223,"Paulding, GA",47702
13225,"Peach, GA",44603
13227,"Pickens, GA",60795
13229,"Pierce, GA",41877
13231,"Pike, GA",50746
13233,"Polk, GA",40396
13235,"Pulaski, GA",41022
13237,"Putnam, GA",56574
13239,"Quitman, GA",38358
13241,"Rabun, GA",51860
13243,"Randolph, GA",42733
